iter	Passed	Remaining
979	19823	404
980	19839	384
981	19858	364
982	19877	343
983	19894	323
984	19919	303
985	19938	283
986	19956	262
987	19973	242
988	19990	222
989	20008	202
990	20025	181
991	20044	161
992	20062	141
993	20080	121
994	20103	101
995	20132	80
996	20157	60
997	20180	40
998	20203	20
999	20224	0
